date,neueve
2020-05-15 13:21:00,0
2020-05-15 13:22:00,0
2020-05-15 13:23:00,0
2020-05-15 13:24:00,0
2020-05-15 13:25:00,0
2020-05-15 13:26:00,0
2020-05-15 13:27:00,0
2020-05-15 13:28:00,0
2020-05-15 13:29:00,0
2020-05-15 13:30:00,0
2020-05-15 13:31:00,0
2020-05-15 13:32:00,0
2020-05-15 13:33:00,0
2020-05-15 13:34:00,0
2020-05-15 13:35:00,0
2020-05-15 13:36:00,0
2020-05-15 13:37:00,0
2020-05-15 13:38:00,0
2020-05-15 13:39:00,0
2020-05-15 13:40:00,0
2020-05-15 13:41:00,0
2020-05-15 13:42:00,0
2020-05-15 13:43:00,0
2020-05-15 13:44:00,0
2020-05-15 13:45:00,0
2020-05-15 13:46:00,0
2020-05-15 13:47:00,0
2020-05-15 13:48:00,0
2020-05-15 13:49:00,0
2020-05-15 13:50:00,0
2020-05-15 13:51:00,0
2020-05-15 13:52:00,0
2020-05-15 13:53:00,0
2020-05-15 13:54:00,0
2020-05-15 13:55:00,0
2020-05-15 13:56:00,0
2020-05-15 13:57:00,100
2020-05-15 13:58:00,0
2020-05-15 13:59:00,0
2020-05-15 14:00:00,0
2020-05-15 14:01:00,0
2020-05-15 14:02:00,0
2020-05-15 14:03:00,0
2020-05-15 14:04:00,0
2020-05-15 14:05:00,0
2020-05-15 14:06:00,0
2020-05-15 14:07:00,0
2020-05-15 14:08:00,0
2020-05-15 14:09:00,0
2020-05-15 14:10:00,0
2020-05-15 14:11:00,0
2020-05-15 14:12:00,0
2020-05-15 14:13:00,0
2020-05-15 14:14:00,0
2020-05-15 14:15:00,0
2020-05-15 14:16:00,0
2020-05-15 14:17:00,0
2020-05-15 14:18:00,0
2020-05-15 14:19:00,0
2020-05-15 14:20:00,0
2020-05-15 14:21:00,0
2020-05-15 14:22:00,0
2020-05-15 14:23:00,0
2020-05-15 14:24:00,0
2020-05-15 14:25:00,0
2020-05-15 14:26:00,96
2020-05-15 14:27:00,0
2020-05-15 14:28:00,0
2020-05-15 14:29:00,0
2020-05-15 14:30:00,0
2020-05-15 14:31:00,0
2020-05-15 14:32:00,0
2020-05-15 14:33:00,0
2020-05-15 14:34:00,0
2020-05-15 14:35:00,0
2020-05-15 14:36:00,0
2020-05-15 14:37:00,0
2020-05-15 14:38:00,92
2020-05-15 14:39:00,0
2020-05-15 14:40:00,0
2020-05-15 14:41:00,0
2020-05-15 14:42:00,0
2020-05-15 14:43:00,0
2020-05-15 14:44:00,0
2020-05-15 14:45:00,0
2020-05-15 14:46:00,0
2020-05-15 14:47:00,0
2020-05-15 14:48:00,89
2020-05-15 14:49:00,0
2020-05-15 14:50:00,0
2020-05-15 14:51:00,0
2020-05-15 14:52:00,0
2020-05-15 14:53:00,0
2020-05-15 14:54:00,0
2020-05-15 14:55:00,0
2020-05-15 14:56:00,0
2020-05-15 14:57:00,0
2020-05-15 14:58:00,0
