date,neueve
2020-05-15 14:59:00,0
2020-05-15 15:00:00,0
2020-05-15 15:01:00,0
2020-05-15 15:02:00,0
2020-05-15 15:03:00,0
2020-05-15 15:04:00,87
2020-05-15 15:05:00,0
2020-05-15 15:06:00,0
2020-05-15 15:07:00,0
2020-05-15 15:08:00,0
2020-05-15 15:09:00,0
2020-05-15 15:10:00,0
2020-05-15 15:11:00,0
2020-05-15 15:12:00,0
2020-05-15 15:13:00,0
2020-05-15 15:14:00,0
2020-05-15 15:15:00,0
2020-05-15 15:16:00,0
2020-05-15 15:17:00,0
2020-05-15 15:18:00,0
2020-05-15 15:19:00,0
2020-05-15 15:20:00,0
2020-05-15 15:21:00,0
2020-05-15 15:22:00,0
2020-05-15 15:23:00,0
2020-05-15 15:24:00,0
2020-05-15 15:25:00,0
2020-05-15 15:26:00,0
2020-05-15 15:27:00,0
2020-05-15 15:28:00,0
2020-05-15 15:29:00,0
2020-05-15 15:30:00,0
2020-05-15 15:31:00,0
2020-05-15 15:32:00,0
2020-05-15 15:33:00,0
2020-05-15 15:34:00,0
2020-05-15 15:35:00,0
2020-05-15 15:36:00,0
2020-05-15 15:37:00,0
2020-05-15 15:38:00,0
2020-05-15 15:39:00,0
2020-05-15 15:40:00,0
2020-05-15 15:41:00,0
2020-05-15 15:42:00,0
2020-05-15 15:43:00,0
2020-05-15 15:44:00,0
2020-05-15 15:45:00,0
2020-05-15 15:46:00,0
2020-05-15 15:47:00,80
2020-05-15 15:48:00,0
2020-05-15 15:49:00,0
2020-05-15 15:50:00,0
2020-05-15 15:51:00,0
2020-05-15 15:52:00,0
2020-05-15 15:53:00,0
2020-05-15 15:54:00,0
2020-05-15 15:55:00,0
2020-05-15 15:56:00,0
2020-05-15 15:57:00,0
2020-05-15 15:58:00,0
2020-05-15 15:59:00,0
2020-05-15 16:00:00,0
2020-05-15 16:01:00,0
2020-05-15 16:02:00,0
2020-05-15 16:03:00,0
2020-05-15 16:04:00,0
2020-05-15 16:05:00,0
2020-05-15 16:06:00,0
2020-05-15 16:07:00,0
2020-05-15 16:08:00,0
2020-05-15 16:09:00,0
2020-05-15 16:10:00,0
2020-05-15 16:11:00,0
2020-05-15 16:12:00,0
2020-05-15 16:13:00,0
2020-05-15 16:14:00,0
2020-05-15 16:15:00,0
2020-05-15 16:16:00,0
2020-05-15 16:17:00,0
2020-05-15 16:18:00,0
2020-05-15 16:19:00,0
2020-05-15 16:20:00,0
2020-05-15 16:21:00,0
2020-05-15 16:22:00,0
2020-05-15 16:23:00,0
2020-05-15 16:24:00,0
2020-05-15 16:25:00,0
2020-05-15 16:26:00,0
2020-05-15 16:27:00,0
2020-05-15 16:28:00,0
2020-05-15 16:29:00,0
2020-05-15 16:30:00,0
2020-05-15 16:31:00,0
2020-05-15 16:32:00,0
2020-05-15 16:33:00,0
2020-05-15 16:34:00,0
2020-05-15 16:35:00,0
2020-05-15 16:36:00,0
2020-05-15 16:37:00,0
2020-05-15 16:38:00,0
2020-05-15 16:39:00,0
2020-05-15 16:40:00,0
2020-05-15 16:41:00,0
2020-05-15 16:42:00,0
2020-05-15 16:43:00,78
2020-05-15 16:44:00,0
2020-05-15 16:45:00,0
2020-05-15 16:46:00,0
2020-05-15 16:47:00,0
2020-05-15 16:48:00,0
2020-05-15 16:49:00,0
2020-05-15 16:50:00,0
2020-05-15 16:51:00,0
2020-05-15 16:52:00,0
2020-05-15 16:53:00,0
2020-05-15 16:54:00,0
2020-05-15 16:55:00,0
2020-05-15 16:56:00,0
2020-05-15 16:57:00,0
2020-05-15 16:58:00,0
2020-05-15 16:59:00,0
2020-05-15 17:00:00,0
2020-05-15 17:01:00,0
2020-05-15 17:02:00,0
2020-05-15 17:03:00,0
2020-05-15 17:04:00,0
2020-05-15 17:05:00,0
2020-05-15 17:06:00,0
2020-05-15 17:07:00,0
2020-05-15 17:08:00,0
2020-05-15 17:09:00,0
2020-05-15 17:10:00,0
2020-05-15 17:11:00,0
2020-05-15 17:12:00,0
2020-05-15 17:13:00,0
2020-05-15 17:14:00,0
2020-05-15 17:15:00,0
2020-05-15 17:16:00,0
2020-05-15 17:17:00,0
2020-05-15 17:18:00,0
2020-05-15 17:19:00,0
